id,model,category,price_per_hour,price_per_day,status
1,"Mountain Bike 1","mountain bike",10,50,available
2,"Road Bike 1","road bike",12,60,available
3,"Hybrid Bike 1",hybrid,8,40,rented
4,"Electric Bike 1",electric,15,75,available
5,"Mountain Bike 2","mountain bike",10,50,"out of service"
6,"Road Bike 2","road bike",12,60,available
7,"Hybrid Bike 2",hybrid,8,40,"out of service"
8,"Electric Bike 2",electric,15,75,available
9,"Mountain Bike 3","mountain bike",10,50,rented
10,"Road Bike 3","road bike",12,60,available
